,Unnamed: 0,dishwasher
2152974,2152974,4.0
2152975,2152975,17.0
2152976,2152976,18.0
2152977,2152977,18.0
2152978,2152978,18.0
2152979,2152979,18.0
2152980,2152980,18.0
2152981,2152981,18.0
2152982,2152982,18.0
2152983,2152983,18.0
2152984,2152984,18.0
2152985,2152985,18.0
2152986,2152986,17.0
2152987,2152987,18.0
2152988,2152988,18.0
2152989,2152989,18.0
2152990,2152990,18.0
2152991,2152991,18.0
2152992,2152992,18.0
2152993,2152993,18.0
2152994,2152994,18.0
2152995,2152995,17.0
2152996,2152996,18.0
2152997,2152997,17.0
2152998,2152998,18.0
2152999,2152999,18.0
2153000,2153000,18.0
2153001,2153001,16.0
2153002,2153002,16.0
2153003,2153003,15.0
2153004,2153004,15.0
2153005,2153005,15.0
2153006,2153006,15.0
2153007,2153007,14.0
2153008,2153008,14.0
2153009,2153009,13.0
2153010,2153010,13.0
2153011,2153011,13.0
2153012,2153012,13.0
2153013,2153013,13.0
2153014,2153014,13.0
2153015,2153015,13.0
2153016,2153016,13.0
2153017,2153017,13.0
2153018,2153018,13.0
2153019,2153019,13.0
2153020,2153020,13.0
2153021,2153021,13.0
2153022,2153022,13.0
2153023,2153023,14.0
2153024,2153024,14.0
2153025,2153025,14.0
2153026,2153026,15.0
2153027,2153027,15.0
2153028,2153028,15.0
2153029,2153029,15.0
2153030,2153030,16.0
2153031,2153031,16.0
2153032,2153032,17.0
2153033,2153033,17.0
2153034,2153034,17.0
2153035,2153035,17.0
2153036,2153036,17.0
2153037,2153037,17.0
2153038,2153038,17.0
2153039,2153039,17.0
2153040,2153040,18.0
2153041,2153041,17.0
2153042,2153042,17.0
2153043,2153043,18.0
2153044,2153044,17.0
2153045,2153045,15.0
2153046,2153046,15.0
2153047,2153047,14.0
2153048,2153048,13.0
2153049,2153049,13.0
2153050,2153050,13.0
2153051,2153051,13.0
2153052,2153052,13.0
2153053,2153053,13.0
2153054,2153054,13.0
2153055,2153055,14.0
2153056,2153056,14.0
2153057,2153057,14.0
2153058,2153058,14.0
2153059,2153059,15.0
2153060,2153060,15.0
2153061,2153061,16.0
2153062,2153062,16.0
2153063,2153063,16.0
2153064,2153064,17.0
2153065,2153065,17.0
2153066,2153066,18.0
2153067,2153067,18.0
2153068,2153068,18.0
2153069,2153069,17.0
2153070,2153070,17.0
2153071,2153071,16.0
2153072,2153072,15.0
2153073,2153073,13.0
2153074,2153074,13.0
2153075,2153075,13.0
2153076,2153076,13.0
2153077,2153077,13.0
2153078,2153078,13.0
2153079,2153079,14.0
2153080,2153080,13.0
2153081,2153081,13.0
2153082,2153082,14.0
2153083,2153083,15.0
2153084,2153084,15.0
2153085,2153085,16.0
2153086,2153086,16.0
2153087,2153087,17.0
2153088,2153088,17.0
2153089,2153089,17.0
2153090,2153090,18.0
2153091,2153091,18.0
2153092,2153092,3.0
2153093,2153093,3.0
2153094,2153094,3.0
2153095,2153095,3.0
2153096,2153096,3.0
2153097,2153097,3.0
2153098,2153098,3.0
2153099,2153099,3.0
2153100,2153100,3.0
2153101,2153101,3.0
2153102,2153102,3.0
2153103,2153103,3.0
2153104,2153104,3.0
2153105,2153105,9.0
2153106,2153106,7.0
2153107,2153107,7.0
2153108,2153108,7.0
2153109,2153109,7.0
2153110,2153110,7.0
2153111,2153111,7.0
2153112,2153112,7.0
2153113,2153113,7.0
2153114,2153114,7.0
2153115,2153115,7.0
2153116,2153116,7.0
2153117,2153117,7.0
2153118,2153118,7.0
2153119,2153119,7.0
2153120,2153120,7.0
2153121,2153121,7.0
2153122,2153122,7.0
2153123,2153123,7.0
2153124,2153124,7.0
2153125,2153125,7.0
2153126,2153126,7.0
2153127,2153127,7.0
2153128,2153128,7.0
2153129,2153129,7.0
2153130,2153130,7.0
2153131,2153131,7.0
2153132,2153132,7.0
2153133,2153133,7.0
2153134,2153134,7.0
2153135,2153135,7.0
2153136,2153136,7.0
2153137,2153137,7.0
2153138,2153138,7.0
2153139,2153139,7.0
2153140,2153140,7.0
2153141,2153141,7.0
2153142,2153142,7.0
2153143,2153143,7.0
2153144,2153144,7.0
2153145,2153145,7.0
2153146,2153146,7.0
2153147,2153147,7.0
2153148,2153148,7.0
2153149,2153149,7.0
2153150,2153150,7.0
2153151,2153151,7.0
2153152,2153152,7.0
2153153,2153153,7.0
2153154,2153154,7.0
2153155,2153155,7.0
2153156,2153156,7.0
2153157,2153157,7.0
2153158,2153158,7.0
2153159,2153159,7.0
2153160,2153160,7.0
2153161,2153161,7.0
2153162,2153162,7.0
2153163,2153163,7.0
2153164,2153164,7.0
2153165,2153165,7.0
2153166,2153166,7.0
2153167,2153167,7.0
2153168,2153168,7.0
2153169,2153169,7.0
2153170,2153170,7.0
2153171,2153171,7.0
2153172,2153172,7.0
2153173,2153173,7.0
2153174,2153174,7.0
2153175,2153175,7.0
2153176,2153176,7.0
2153177,2153177,7.0
2153178,2153178,7.0
2153179,2153179,7.0
2153180,2153180,7.0
2153181,2153181,7.0
2153182,2153182,3.0
2153183,2153183,3.0
2153184,2153184,3.0
2153185,2153185,3.0
2153186,2153186,3.0
2153187,2153187,3.0
2153188,2153188,3.0
2153189,2153189,3.0
2153190,2153190,3.0
2153191,2153191,3.0
2153192,2153192,3.0
2153193,2153193,3.0
2153194,2153194,3.0
2153195,2153195,3.0
2153196,2153196,3.0
2153197,2153197,3.0
2153198,2153198,3.0
2153199,2153199,3.0
2153200,2153200,3.0
2153201,2153201,3.0
2153202,2153202,3.0
2153203,2153203,3.0
2153204,2153204,3.0
2153205,2153205,167.0
2153206,2153206,167.0
2153207,2153207,127.0
2153208,2153208,140.0
2153209,2153209,137.0
2153210,2153210,133.0
2153211,2153211,128.0
2153212,2153212,131.0
2153213,2153213,134.0
2153214,2153214,143.0
2153215,2153215,144.0
2153216,2153216,147.0
2153217,2153217,145.0
2153218,2153218,139.0
2153219,2153219,140.0
2153220,2153220,142.0
2153221,2153221,144.0
2153222,2153222,146.0
2153223,2153223,145.0
2153224,2153224,142.0
2153225,2153225,140.0
2153226,2153226,142.0
2153227,2153227,136.0
2153228,2153228,140.0
2153229,2153229,136.0
2153230,2153230,135.0
2153231,2153231,137.0
2153232,2153232,139.0
2153233,2153233,134.0
2153234,2153234,135.0
2153235,2153235,136.0
2153236,2153236,135.0
2153237,2153237,134.0
2153238,2153238,135.0
2153239,2153239,132.0
2153240,2153240,141.0
2153241,2153241,136.0
2153242,2153242,136.0
2153243,2153243,136.0
2153244,2153244,135.0
2153245,2153245,138.0
2153246,2153246,138.0
2153247,2153247,138.0
2153248,2153248,138.0
2153249,2153249,138.0
2153250,2153250,138.0
2153251,2153251,137.0
2153252,2153252,130.0
2153253,2153253,137.0
2153254,2153254,126.0
2153255,2153255,135.0
2153256,2153256,135.0
2153257,2153257,136.0
2153258,2153258,138.0
2153259,2153259,139.0
2153260,2153260,133.0
2153261,2153261,134.0
2153262,2153262,132.0
2153263,2153263,130.0
2153264,2153264,133.0
2153265,2153265,134.0
2153266,2153266,133.0
2153267,2153267,132.0
2153268,2153268,135.0
2153269,2153269,132.0
2153270,2153270,131.0
2153271,2153271,135.0
2153272,2153272,141.0
2153273,2153273,133.0
2153274,2153274,132.0
2153275,2153275,131.0
2153276,2153276,134.0
2153277,2153277,133.0
2153278,2153278,137.0
2153279,2153279,129.0
2153280,2153280,136.0
2153281,2153281,133.0
2153282,2153282,131.0
2153283,2153283,137.0
2153284,2153284,131.0
2153285,2153285,131.0
2153286,2153286,130.0
2153287,2153287,131.0
2153288,2153288,129.0
2153289,2153289,133.0
2153290,2153290,133.0
2153291,2153291,133.0
2153292,2153292,131.0
2153293,2153293,132.0
2153294,2153294,131.0
2153295,2153295,139.0
2153296,2153296,132.0
2153297,2153297,127.0
2153298,2153298,130.0
2153299,2153299,135.0
2153300,2153300,127.0
2153301,2153301,129.0
2153302,2153302,130.0
2153303,2153303,134.0
2153304,2153304,129.0
2153305,2153305,135.0
2153306,2153306,132.0
2153307,2153307,125.0
2153308,2153308,132.0
2153309,2153309,130.0
2153310,2153310,131.0
2153311,2153311,131.0
2153312,2153312,131.0
2153313,2153313,130.0
2153314,2153314,129.0
2153315,2153315,132.0
2153316,2153316,126.0
2153317,2153317,132.0
2153318,2153318,134.0
2153319,2153319,130.0
2153320,2153320,130.0
2153321,2153321,135.0
2153322,2153322,129.0
2153323,2153323,132.0
2153324,2153324,131.0
2153325,2153325,133.0
2153326,2153326,123.0
2153327,2153327,127.0
2153328,2153328,129.0
2153329,2153329,126.0
2153330,2153330,126.0
2153331,2153331,792.0
2153332,2153332,783.0
2153333,2153333,778.0
2153334,2153334,780.0
2153335,2153335,775.0
2153336,2153336,773.0
2153337,2153337,768.0
2153338,2153338,765.0
2153339,2153339,764.0
2153340,2153340,761.0
2153341,2153341,765.0
2153342,2153342,761.0
2153343,2153343,760.0
2153344,2153344,760.0
2153345,2153345,763.0
2153346,2153346,755.0
2153347,2153347,762.0
2153348,2153348,756.0
2153349,2153349,761.0
2153350,2153350,755.0
2153351,2153351,763.0
2153352,2153352,766.0
2153353,2153353,761.0
2153354,2153354,757.0
2153355,2153355,760.0
2153356,2153356,761.0
2153357,2153357,755.0
2153358,2153358,759.0
2153359,2153359,756.0
2153360,2153360,758.0
2153361,2153361,761.0
2153362,2153362,762.0
2153363,2153363,758.0
2153364,2153364,761.0
2153365,2153365,760.0
2153366,2153366,763.0
2153367,2153367,758.0
2153368,2153368,757.0
2153369,2153369,752.0
2153370,2153370,760.0
2153371,2153371,760.0
2153372,2153372,763.0
2153373,2153373,757.0
2153374,2153374,758.0
2153375,2153375,766.0
2153376,2153376,761.0
2153377,2153377,760.0
2153378,2153378,759.0
2153379,2153379,761.0
2153380,2153380,764.0
2153381,2153381,760.0
2153382,2153382,765.0
2153383,2153383,761.0
2153384,2153384,767.0
2153385,2153385,757.0
2153386,2153386,767.0
2153387,2153387,758.0
2153388,2153388,760.0
2153389,2153389,760.0
2153390,2153390,759.0
2153391,2153391,762.0
2153392,2153392,761.0
2153393,2153393,758.0
2153394,2153394,758.0
2153395,2153395,756.0
2153396,2153396,761.0
2153397,2153397,761.0
2153398,2153398,760.0
2153399,2153399,766.0
2153400,2153400,757.0
2153401,2153401,760.0
2153402,2153402,763.0
2153403,2153403,760.0
2153404,2153404,764.0
2153405,2153405,761.0
2153406,2153406,759.0
2153407,2153407,761.0
2153408,2153408,763.0
2153409,2153409,760.0
2153410,2153410,758.0
2153411,2153411,761.0
2153412,2153412,760.0
2153413,2153413,760.0
2153414,2153414,759.0
2153415,2153415,763.0
2153416,2153416,757.0
2153417,2153417,760.0
2153418,2153418,762.0
2153419,2153419,759.0
2153420,2153420,757.0
2153421,2153421,760.0
2153422,2153422,760.0
2153423,2153423,758.0
2153424,2153424,760.0
2153425,2153425,764.0
2153426,2153426,763.0
2153427,2153427,758.0
2153428,2153428,759.0
2153429,2153429,765.0
2153430,2153430,753.0
2153431,2153431,762.0
2153432,2153432,760.0
2153433,2153433,761.0
2153434,2153434,763.0
2153435,2153435,763.0
2153436,2153436,758.0
2153437,2153437,756.0
2153438,2153438,760.0
2153439,2153439,757.0
2153440,2153440,763.0
2153441,2153441,757.0
2153442,2153442,762.0
2153443,2153443,758.0
2153444,2153444,762.0
2153445,2153445,758.0
2153446,2153446,756.0
2153447,2153447,761.0
2153448,2153448,763.0
2153449,2153449,762.0
2153450,2153450,765.0
2153451,2153451,756.0
2153452,2153452,762.0
2153453,2153453,758.0
2153454,2153454,758.0
2153455,2153455,759.0
2153456,2153456,755.0
2153457,2153457,757.0
2153458,2153458,760.0
2153459,2153459,759.0
2153460,2153460,762.0
2153461,2153461,761.0
2153462,2153462,756.0
2153463,2153463,761.0
2153464,2153464,761.0
2153465,2153465,763.0
2153466,2153466,764.0
2153467,2153467,764.0
2153468,2153468,758.0
2153469,2153469,761.0
2153470,2153470,759.0
2153471,2153471,766.0
2153472,2153472,764.0
2153473,2153473,756.0
2153474,2153474,765.0
2153475,2153475,761.0
2153476,2153476,760.0
2153477,2153477,761.0
2153478,2153478,764.0
2153479,2153479,762.0
2153480,2153480,763.0
2153481,2153481,761.0
2153482,2153482,762.0
2153483,2153483,762.0
2153484,2153484,765.0
2153485,2153485,757.0
2153486,2153486,759.0
2153487,2153487,761.0
2153488,2153488,758.0
2153489,2153489,758.0
2153490,2153490,768.0
2153491,2153491,759.0
2153492,2153492,762.0
2153493,2153493,765.0
2153494,2153494,761.0
2153495,2153495,760.0
2153496,2153496,757.0
2153497,2153497,766.0
2153498,2153498,762.0
2153499,2153499,757.0
2153500,2153500,765.0
2153501,2153501,763.0
2153502,2153502,763.0
2153503,2153503,761.0
2153504,2153504,767.0
2153505,2153505,759.0
2153506,2153506,756.0
2153507,2153507,762.0
2153508,2153508,755.0
2153509,2153509,762.0
2153510,2153510,757.0
2153511,2153511,762.0
2153512,2153512,759.0
2153513,2153513,758.0
2153514,2153514,760.0
2153515,2153515,763.0
2153516,2153516,763.0
2153517,2153517,762.0
2153518,2153518,761.0
2153519,2153519,762.0
2153520,2153520,762.0
2153521,2153521,758.0
2153522,2153522,761.0
2153523,2153523,759.0
2153524,2153524,762.0
2153525,2153525,762.0
2153526,2153526,764.0
2153527,2153527,763.0
2153528,2153528,760.0
2153529,2153529,760.0
2153530,2153530,761.0
2153531,2153531,763.0
2153532,2153532,763.0
2153533,2153533,761.0
2153534,2153534,759.0
2153535,2153535,762.0
2153536,2153536,760.0
2153537,2153537,762.0
2153538,2153538,765.0
2153539,2153539,761.0
2153540,2153540,754.0
2153541,2153541,760.0
2153542,2153542,759.0
2153543,2153543,755.0
2153544,2153544,765.0
2153545,2153545,757.0
2153546,2153546,765.0
2153547,2153547,765.0
2153548,2153548,757.0
2153549,2153549,757.0
2153550,2153550,763.0
2153551,2153551,760.0
2153552,2153552,759.0
2153553,2153553,761.0
2153554,2153554,757.0
2153555,2153555,761.0
2153556,2153556,762.0
2153557,2153557,762.0
2153558,2153558,763.0
2153559,2153559,762.0
2153560,2153560,762.0
2153561,2153561,757.0
2153562,2153562,759.0
2153563,2153563,762.0
2153564,2153564,760.0
2153565,2153565,762.0
2153566,2153566,761.0
2153567,2153567,760.0
2153568,2153568,760.0
2153569,2153569,763.0
2153570,2153570,759.0
2153571,2153571,763.0
2153572,2153572,766.0
2153573,2153573,768.0
2153574,2153574,766.0
2153575,2153575,762.0
2153576,2153576,760.0
2153577,2153577,766.0
2153578,2153578,758.0
2153579,2153579,766.0
2153580,2153580,759.0
2153581,2153581,763.0
2153582,2153582,753.0
2153583,2153583,759.0
2153584,2153584,759.0
2153585,2153585,763.0
2153586,2153586,762.0
2153587,2153587,757.0
2153588,2153588,762.0
2153589,2153589,768.0
2153590,2153590,760.0
2153591,2153591,763.0
