,time,dryer
1970,1599970,313
1971,1599971,309
1972,1599972,273
1973,1599973,5852
1974,1599974,5780
1975,1599975,5702
1976,1599976,5686
1977,1599977,5639
1978,1599978,5583
1979,1599979,5555
1980,1599980,5526
1981,1599981,5505
1982,1599982,5499
1983,1599983,5482
1984,1599984,5448
1985,1599985,5445
1986,1599986,5437
1987,1599987,5433
1988,1599988,5451
1989,1599989,5435
1990,1599990,5399
1991,1599991,5402
1992,1599992,5407
1993,1599993,5409
1994,1599994,5435
1995,1599995,5430
1996,1599996,5409
1997,1599997,5421
1998,1599998,5411
1999,1599999,5409
2000,1600000,5425
2001,1600001,5416
2002,1600002,5387
2003,1600003,5404
2004,1600004,5391
2005,1600005,5390
2006,1600006,5419
2007,1600007,5396
2008,1600008,5377
2009,1600009,5402
2010,1600010,5402
2011,1600011,5395
2012,1600012,5430
2013,1600013,5429
2014,1600014,5416
2015,1600015,5421
2016,1600016,5418
2017,1600017,5400
2018,1600018,5417
2019,1600019,5401
2020,1600020,5376
2021,1600021,5393
2022,1600022,5392
2023,1600023,5400
2024,1600024,5415
2025,1600025,5406
2026,1600026,5380
2027,1600027,5382
2028,1600028,5427
2029,1600029,5419
2030,1600030,5442
2031,1600031,5420
2032,1600032,5401
2033,1600033,5425
2034,1600034,5414
2035,1600035,5421
2036,1600036,5438
2037,1600037,5438
2038,1600038,5419
2039,1600039,5421
2040,1600040,5421
2041,1600041,5418
2042,1600042,5452
2043,1600043,5436
2044,1600044,5419
2045,1600045,5427
2046,1600046,5428
2047,1600047,5428
2048,1600048,5464
2049,1600049,5444
2050,1600050,5422
2051,1600051,5435
2052,1600052,5433
2053,1600053,5431
2054,1600054,5466
2055,1600055,5457
2056,1600056,5429
2057,1600057,5429
2058,1600058,5423
2059,1600059,5407
2060,1600060,5443
2061,1600061,5436
2062,1600062,5420
2063,1600063,5431
2064,1600064,5424
2065,1600065,5426
2066,1600066,5452
2067,1600067,5445
2068,1600068,5440
2069,1600069,5439
2070,1600070,5435
2071,1600071,5412
2072,1600072,5441
2073,1600073,5435
2074,1600074,5416
2075,1600075,5429
2076,1600076,5434
2077,1600077,5425
2078,1600078,5442
2079,1600079,5429
2080,1600080,5416
2081,1600081,5419
2082,1600082,5428
2083,1600083,5397
2084,1600084,5443
2085,1600085,5425
2086,1600086,5409
2087,1600087,5425
2088,1600088,5433
2089,1600089,5424
2090,1600090,5432
2091,1600091,5433
2092,1600092,5391
2093,1600093,288
2094,1600094,288
2095,1600095,309
2096,1600096,334
2097,1600097,322
2098,1600098,283
2099,1600099,290
2100,1600100,298
2101,1600101,294
2102,1600102,317
2103,1600103,313
2104,1600104,296
2105,1600105,308
2106,1600106,300
2107,1600107,292
2108,1600108,5737
2109,1600109,5662
2110,1600110,5603
2111,1600111,5578
2112,1600112,5545
2113,1600113,5503
2114,1600114,5511
2115,1600115,5481
2116,1600116,5435
2117,1600117,5432
2118,1600118,5427
2119,1600119,5422
2120,1600120,5450
